id,county,name,type,location,gloves,mask,homeade,gender,age,uncover_nose,touch_face,remove_mask,broke_6ft,pre_post,date,time,temp,weather,duration,no_cases,case_rate,neg_rate,pct_fatality,,,,,
store_30,wood,walmart,grocery,rural,,1,1,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,A,,,1,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,C,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,C,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,C,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,C,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,C,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,0,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,1,1,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,E,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,0,A,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,1,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_30,wood,walmart,grocery,rural,,0,,1,Y,,,,,post,5.31.20,,64,cloudy,24,11,15,3149,9,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.29.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,1,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,C,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,1,,0,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,1,A,1,1,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,1,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,0,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,0,Y,,,1,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,1,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,1,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,Y,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,1,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,1,,1,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,E,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,1,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
store_29,adams,county_mkt,grocery,rural,,,,0,A,,,,,post,5.31.20,,62,cloudy,35,4,19.9,3303,25,,,,,
